TEST	TRAIT	NTOTAL	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P
Conditional	Aorta-DA	817	BCAS3_EC-only	SET	256	-0.14581	-0.067675	0.092712	0.9419
Global	Aorta-DA	20245	BCAS3_EC-only	SET	256	0.036203	0.0040453	0.056964	0.26254
Conditional	Aorta-DA	588	EDN1_EC-only	SET	202	0.080521	0.038271	0.1074	0.22686
Global	Aorta-DA	20245	EDN1_EC-only	SET	202	0.076983	0.0076514	0.062593	0.10938
Conditional	Aorta-DA	772	FN1_EC-only	SET	145	0.070769	0.027658	0.10933	0.25882
Global	Aorta-DA	20245	FN1_EC-only	SET	145	0.067749	0.0057131	0.074323	0.18101
Conditional	Aorta-DA	1327	JCAD_EC-only	SET	35	0.07322	0.011738	0.19608	0.35445
Global	Aorta-DA	20245	JCAD_EC-only	SET	35	-0.084636	-0.0035161	0.14367	0.7221
Conditional	Aorta-DA	1289	PHACTR1_EC-only	SET	18	0.007326	0.00085998	0.24824	0.48823
Global	Aorta-DA	20245	PHACTR1_EC-only	SET	18	-0.20491	-0.0061075	0.22847	0.81511
Conditional	Aorta-DA	1093	PLPP3_EC-only	SET	426	0.027336	0.013338	0.074961	0.35772
Global	Aorta-DA	20245	PLPP3_EC-only	SET	426	0.083917	0.012044	0.042997	0.025499
Conditional	Aorta-DA	2337	COMBINED_EC-only	SET	592	-0.019647	-0.0085464	0.050585	0.65112
Global	Aorta-DA	20237	COMBINED_EC-only	SET	592	0.0075659	0.001275	0.036606	0.41813
Conditional	Aorta-DA	729	ARHGEF26_SMC-only	SET	126	-0.069609	-0.026338	0.11547	0.7266
Global	Aorta-DA	20245	ARHGEF26_SMC-only	SET	126	0.10108	0.00795	0.078467	0.098842
Conditional	Aorta-DA	428	BCAS3_SMC-only	SET	35	-0.044811	-0.012294	0.23069	0.57696
Global	Aorta-DA	20245	BCAS3_SMC-only	SET	35	0.14036	0.0058311	0.18891	0.22875
Conditional	Aorta-DA	809	EDN1_SMC-only	SET	197	0.040965	0.017593	0.10625	0.34997
Global	Aorta-DA	20245	EDN1_SMC-only	SET	197	0.12852	0.012616	0.063223	0.021047
Conditional	Aorta-DA	1209	FN1_SMC-only	SET	314	0.0184	0.0080714	0.078901	0.40782
Global	Aorta-DA	20245	FN1_SMC-only	SET	314	0.11442	0.014139	0.05029	0.011457
Conditional	Aorta-DA	233	HDAC9_SMC-only	SET	19	-0.13089	-0.035897	0.31715	0.65989
Global	Aorta-DA	20245	HDAC9_SMC-only	SET	19	0.063445	0.0019428	0.18355	0.3648
Conditional	Aorta-DA	268	JCAD_SMC-only	SET	95	-0.051615	-0.024736	0.15913	0.62704
Global	Aorta-DA	20245	JCAD_SMC-only	SET	95	0.16228	0.01109	0.088159	0.032841
Conditional	Aorta-DA	1162	PHACTR1_SMC-only	SET	46	-0.078865	-0.015384	0.17991	0.6694
Global	Aorta-DA	20245	PHACTR1_SMC-only	SET	46	0.0055485	0.00026419	0.14893	0.48514
Conditional	Aorta-DA	1567	PLPP3_SMC-only	SET	192	-0.075507	-0.024766	0.085292	0.81193
Global	Aorta-DA	20245	PLPP3_SMC-only	SET	192	0.1116	0.010817	0.064338	0.041416
Conditional	Aorta-DA	2065	COMBINED_SMC-only	SET	525	0.12305	0.053591	0.05718	0.015764
Global	Aorta-DA	20236	COMBINED_SMC-only	SET	525	0.084766	0.013475	0.040385	0.017919
Conditional	Aorta-DA	1701	ARHGEF26_EC-SMC-intersect	SET	8	-0.067384	-0.0046116	0.44472	0.56021
Global	Aorta-DA	20245	ARHGEF26_EC-SMC-intersect	SET	8	0.066724	0.0013262	0.26478	0.40052
Conditional	Aorta-DA	734	BCAS3_EC-SMC-intersect	SET	9	0.41663	0.045881	0.43745	0.17061
Global	Aorta-DA	20245	BCAS3_EC-SMC-intersect	SET	9	-0.20736	-0.0043713	0.34884	0.72388
Conditional	Aorta-DA	617	EDN1_EC-SMC-intersect	SET	29	-0.05501	-0.011652	0.23592	0.59215
Global	Aorta-DA	20245	EDN1_EC-SMC-intersect	SET	29	0.10984	0.0041543	0.15882	0.2446
Conditional	Aorta-DA	1044	FN1_EC-SMC-intersect	SET	78	-0.046922	-0.012343	0.13266	0.63818
Global	Aorta-DA	20245	FN1_EC-SMC-intersect	SET	78	0.02336	0.0014472	0.095255	0.40314
Conditional	Aorta-DA	1476	PHACTR1_EC-SMC-intersect	SET	3	0.023226	0.0010464	0.64247	0.48558
Global	Aorta-DA	20245	PHACTR1_EC-SMC-intersect	SET	3	0.35677	0.0043428	0.482	0.2296
Conditional	Aorta-DA	1364	PLPP3_EC-SMC-intersect	SET	122	-0.17601	-0.050249	0.11008	0.94496
Global	Aorta-DA	20245	PLPP3_EC-SMC-intersect	SET	122	0.031946	0.0024725	0.076733	0.33859
Conditional	Aorta-DA	2448	COMBINED_EC-SMC-intersect	SET	580	0.077796	0.033086	0.050645	0.062328
Global	Aorta-DA	20235	COMBINED_EC-SMC-intersect	SET	580	0.11729	0.019571	0.037871	0.00097923
Conditional	Stroke-AS	1798	ARHGEF26_EC	SET	201	-0.059806	-0.018851	0.070249	0.80265
Global	Stroke-AS	19195	ARHGEF26_EC	SET	201	-0.068773	-0.0070008	0.059079	0.87779
Conditional	Stroke-AS	793	BCAS3_EC	SET	257	0.024673	0.011555	0.076924	0.37425
Global	Stroke-AS	19195	BCAS3_EC	SET	257	0.076007	0.008736	0.056549	0.089472
Conditional	Stroke-AS	596	EDN1_EC	SET	227	-0.019296	-0.009378	0.085792	0.58894
Global	Stroke-AS	19195	EDN1_EC	SET	227	0.023254	0.0025139	0.059557	0.3481
Conditional	Stroke-AS	442	FLT1_EC	SET	192	-0.084679	-0.042021	0.10265	0.79506
Global	Stroke-AS	19195	FLT1_EC	SET	192	0.0077749	0.00077371	0.06244	0.45045
Conditional	Stroke-AS	816	FN1_EC	SET	214	-0.06914	-0.030431	0.075912	0.81866
Global	Stroke-AS	19195	FN1_EC	SET	214	-0.034051	-0.0035754	0.058412	0.72003
Conditional	Stroke-AS	1282	JCAD_EC	SET	33	-0.12083	-0.019143	0.18179	0.74681
Global	Stroke-AS	19195	JCAD_EC	SET	33	-0.096975	-0.0040176	0.14468	0.74865
Conditional	Stroke-AS	1252	PHACTR1_EC	SET	20	0.40225	0.050452	0.23354	0.042632
Global	Stroke-AS	19195	PHACTR1_EC	SET	20	-0.027688	-0.00089331	0.21622	0.55095
Conditional	Stroke-AS	1174	PLPP3_EC	SET	532	0.045744	0.022781	0.058129	0.21574
Global	Stroke-AS	19195	PLPP3_EC	SET	532	0.041895	0.0068775	0.037581	0.13248
Conditional	Stroke-AS	2807	COMBINED_EC	SET	1136	-0.017135	-0.0084121	0.035475	0.68544
Global	Stroke-AS	19187	COMBINED_EC	SET	1136	-0.0095502	-0.002254	0.02603	0.64315
Conditional	Stroke-AS	488	ADAMTS7_SMC	SET	172	-0.1744	-0.083401	0.095542	0.96571
Global	Stroke-AS	19195	ADAMTS7_SMC	SET	172	-0.018018	-0.001698	0.067771	0.60483
Conditional	Stroke-AS	710	ARHGEF26_SMC	SET	130	-0.0064641	-0.0025018	0.0995	0.52589
Global	Stroke-AS	19195	ARHGEF26_SMC	SET	130	0.076426	0.0062683	0.079576	0.16843
Conditional	Stroke-AS	421	BCAS3_SMC	SET	44	0.13476	0.041275	0.15476	0.19219
Global	Stroke-AS	19195	BCAS3_SMC	SET	44	0.019765	0.00094523	0.13279	0.44084
Conditional	Stroke-AS	806	EDN1_SMC	SET	222	0.072998	0.032631	0.076483	0.17008
Global	Stroke-AS	19195	EDN1_SMC	SET	222	0.037318	0.0039901	0.056064	0.25283
Conditional	Stroke-AS	1174	EDNRA_SMC	SET	199	0.038036	0.014277	0.076376	0.30929
Global	Stroke-AS	19195	EDNRA_SMC	SET	199	0.022671	0.0022965	0.058507	0.3492
Conditional	Stroke-AS	1226	FN1_SMC	SET	371	0.0089792	0.0041266	0.061677	0.44214
Global	Stroke-AS	19195	FN1_SMC	SET	371	0.005461	0.00075186	0.044696	0.45138
Conditional	Stroke-AS	228	HDAC9_SMC	SET	19	-0.17067	-0.047275	0.22	0.78065
Global	Stroke-AS	19195	HDAC9_SMC	SET	19	0.0090328	0.00028405	0.22933	0.48429
Conditional	Stroke-AS	259	JCAD_SMC	SET	91	0.061001	0.029178	0.131	0.32093
Global	Stroke-AS	19195	JCAD_SMC	SET	91	0.037865	0.002601	0.084947	0.32789
Conditional	Stroke-AS	1126	PHACTR1_SMC	SET	49	0.034805	0.0071039	0.14205	0.40325
Global	Stroke-AS	19195	PHACTR1_SMC	SET	49	-0.021432	-0.0010815	0.11772	0.57223
Conditional	Stroke-AS	1631	PLPP3_SMC	SET	306	0.082854	0.032356	0.063023	0.094411
Global	Stroke-AS	19195	PLPP3_SMC	SET	306	0.044369	0.0055573	0.048652	0.1809
Conditional	Stroke-AS	2520	COMBINED_SMC	SET	1061	0.015955	0.0078789	0.037633	0.33582
Global	Stroke-AS	19186	COMBINED_SMC	SET	1061	0.012964	0.0029632	0.026704	0.31367
Conditional	Stroke-AS	1956	ARHGEF26_EC-SMC	SET	323	-0.036341	-0.013497	0.057172	0.73746
Global	Stroke-AS	19195	ARHGEF26_EC-SMC	SET	323	-0.015307	-0.0019688	0.048141	0.62474
Conditional	Stroke-AS	986	BCAS3_EC-SMC	SET	292	0.01446	0.0066053	0.071666	0.42007
Global	Stroke-AS	19195	BCAS3_EC-SMC	SET	292	0.057085	0.0069872	0.052594	0.13888
Conditional	Stroke-AS	977	EDN1_EC-SMC	SET	420	0.035088	0.01738	0.062005	0.2858
Global	Stroke-AS	19195	EDN1_EC-SMC	SET	420	0.044222	0.0064696	0.042816	0.15084
Conditional	Stroke-AS	1430	FN1_EC-SMC	SET	512	-0.002474	-0.0011865	0.052231	0.51889
Global	Stroke-AS	19195	FN1_EC-SMC	SET	512	-0.0066466	-0.001071	0.037939	0.56953
Conditional	Stroke-AS	236	HDAC9_EC-SMC	SET	20	-0.15666	-0.043724	0.2134	0.76819
Global	Stroke-AS	19195	HDAC9_EC-SMC	SET	20	0.14556	0.0046961	0.21138	0.24555
Conditional	Stroke-AS	1361	JCAD_EC-SMC	SET	124	0.037199	0.010709	0.092621	0.34401
Global	Stroke-AS	19195	JCAD_EC-SMC	SET	124	0.0032906	0.00026363	0.073152	0.48206
Conditional	Stroke-AS	1486	PHACTR1_EC-SMC	SET	66	0.18711	0.03856	0.12431	0.066252
Global	Stroke-AS	19195	PHACTR1_EC-SMC	SET	66	0.0086372	0.00050561	0.1062	0.46759
Conditional	Stroke-AS	1910	PLPP3_EC-SMC	SET	719	0.026295	0.012743	0.044659	0.27804
Global	Stroke-AS	19195	PLPP3_EC-SMC	SET	719	0.036579	0.0069459	0.032161	0.1277
Conditional	Stroke-AS	3409	COMBINED_EC-SMC	SET	1632	-0.011274	-0.0056327	0.031348	0.64043
Global	Stroke-AS	19185	COMBINED_EC-SMC	SET	1632	-0.0055593	-0.001551	0.022004	0.59973
Conditional	Stroke-AS	1790	ARHGEF26_EC-only	SET	193	-0.036089	-0.011196	0.071281	0.69364
Global	Stroke-AS	19195	ARHGEF26_EC-only	SET	193	-0.067784	-0.0067629	0.060248	0.86972
Conditional	Stroke-AS	784	BCAS3_EC-only	SET	248	0.0026544	0.0012352	0.077641	0.48637
Global	Stroke-AS	19195	BCAS3_EC-only	SET	248	0.064347	0.0072669	0.05742	0.13123
Conditional	Stroke-AS	567	EDN1_EC-only	SET	198	-0.010193	-0.0048633	0.089633	0.54525
Global	Stroke-AS	19195	EDN1_EC-only	SET	198	0.048709	0.0049216	0.063058	0.21993
Conditional	Stroke-AS	743	FN1_EC-only	SET	141	-0.071644	-0.028112	0.090474	0.78565
Global	Stroke-AS	19195	FN1_EC-only	SET	141	-0.038576	-0.0032942	0.072439	0.70282
Conditional	Stroke-AS	1282	JCAD_EC-only	SET	33	-0.12083	-0.019143	0.18179	0.74681
Global	Stroke-AS	19195	JCAD_EC-only	SET	33	-0.096975	-0.0040176	0.14468	0.74865
Conditional	Stroke-AS	1249	PHACTR1_EC-only	SET	17	0.50726	0.0588	0.26082	0.026011
Global	Stroke-AS	19195	PHACTR1_EC-only	SET	17	0.14127	0.0042023	0.24716	0.28382
Conditional	Stroke-AS	1055	PLPP3_EC-only	SET	413	0.012684	0.0061936	0.061363	0.41814
Global	Stroke-AS	19195	PLPP3_EC-only	SET	413	0.029486	0.0042784	0.042121	0.24196
Conditional	Stroke-AS	2242	COMBINED_EC-only	SET	571	-0.073575	-0.032062	0.045302	0.94775
Global	Stroke-AS	19187	COMBINED_EC-only	SET	571	-0.039162	-0.0066547	0.036316	0.85956
Conditional	Stroke-AS	702	ARHGEF26_SMC-only	SET	122	0.038228	0.014496	0.10184	0.35375
Global	Stroke-AS	19195	ARHGEF26_SMC-only	SET	122	0.089253	0.0070931	0.082547	0.1398
Conditional	Stroke-AS	412	BCAS3_SMC-only	SET	35	-0.011742	-0.0032778	0.16989	0.52753
Global	Stroke-AS	19195	BCAS3_SMC-only	SET	35	-0.066197	-0.0028242	0.14544	0.67549
Conditional	Stroke-AS	777	EDN1_SMC-only	SET	193	0.09626	0.041619	0.081523	0.11904
Global	Stroke-AS	19195	EDN1_SMC-only	SET	193	0.062524	0.006238	0.059659	0.14732
Conditional	Stroke-AS	1153	FN1_SMC-only	SET	298	-0.0020724	-0.00090766	0.065789	0.51256
Global	Stroke-AS	19195	FN1_SMC-only	SET	298	0.013096	0.0016191	0.049421	0.39551
Conditional	Stroke-AS	228	HDAC9_SMC-only	SET	19	-0.17067	-0.047275	0.22	0.78065
Global	Stroke-AS	19195	HDAC9_SMC-only	SET	19	0.0090328	0.00028405	0.22933	0.48429
Conditional	Stroke-AS	259	JCAD_SMC-only	SET	91	0.061001	0.029178	0.131	0.32093
Global	Stroke-AS	19195	JCAD_SMC-only	SET	91	0.037865	0.002601	0.084947	0.32789
Conditional	Stroke-AS	1123	PHACTR1_SMC-only	SET	46	0.059203	0.011739	0.1459	0.3425
Global	Stroke-AS	19195	PHACTR1_SMC-only	SET	46	0.020188	0.0009871	0.12192	0.43424
Conditional	Stroke-AS	1512	PLPP3_SMC-only	SET	187	0.046389	0.015277	0.075753	0.27019
Global	Stroke-AS	19195	PLPP3_SMC-only	SET	187	0.02206	0.0021668	0.0622	0.36142
Conditional	Stroke-AS	1955	COMBINED_SMC-only	SET	496	-0.022834	-0.0099383	0.048266	0.68189
Global	Stroke-AS	19186	COMBINED_SMC-only	SET	496	0.0036962	0.00058658	0.038109	0.46137
Conditional	Stroke-AS	1641	ARHGEF26_EC-SMC-intersect	SET	8	-0.76513	-0.053308	0.37355	0.97965
Global	Stroke-AS	19195	ARHGEF26_EC-SMC-intersect	SET	8	-0.092627	-0.0018906	0.30002	0.62124
Conditional	Stroke-AS	703	BCAS3_EC-SMC-intersect	SET	9	0.65811	0.074037	0.35042	0.030402
Global	Stroke-AS	19195	BCAS3_EC-SMC-intersect	SET	9	0.43893	0.0095024	0.32133	0.085987
Conditional	Stroke-AS	586	EDN1_EC-SMC-intersect	SET	29	-0.029527	-0.0064095	0.17666	0.56634
Global	Stroke-AS	19195	EDN1_EC-SMC-intersect	SET	29	-0.14954	-0.0058084	0.16207	0.82192
Conditional	Stroke-AS	991	FN1_EC-SMC-intersect	SET	73	-0.082939	-0.021676	0.11631	0.76203
Global	Stroke-AS	19195	FN1_EC-SMC-intersect	SET	73	-0.025779	-0.0015868	0.099039	0.60268
Conditional	Stroke-AS	1423	PHACTR1_EC-SMC-intersect	SET	3	-0.019029	-0.00087312	0.51497	0.51474
Global	Stroke-AS	19195	PHACTR1_EC-SMC-intersect	SET	3	-0.59401	-0.0074258	0.45219	0.9055
Conditional	Stroke-AS	1310	PLPP3_EC-SMC-intersect	SET	119	0.16336	0.046963	0.095682	0.04401
Global	Stroke-AS	19195	PLPP3_EC-SMC-intersect	SET	119	0.080912	0.0063511	0.078764	0.15216
Conditional	Stroke-AS	2342	COMBINED_EC-SMC-intersect	SET	565	0.066005	0.028245	0.045809	0.074885
Global	Stroke-AS	19185	COMBINED_EC-SMC-intersect	SET	565	0.020715	0.0035023	0.036398	0.28464
Conditional	Stroke-AIS	1798	ARHGEF26_EC	SET	201	-0.064877	-0.020449	0.070379	0.82163
Global	Stroke-AIS	19212	ARHGEF26_EC	SET	201	-0.10411	-0.010594	0.058089	0.96344
Conditional	Stroke-AIS	793	BCAS3_EC	SET	257	0.054092	0.025333	0.076641	0.24027
Global	Stroke-AIS	19212	BCAS3_EC	SET	257	0.077226	0.0088721	0.056955	0.087575
Conditional	Stroke-AIS	596	EDN1_EC	SET	227	0.012255	0.005956	0.082812	0.4412
Global	Stroke-AIS	19212	EDN1_EC	SET	227	0.0073991	0.00079953	0.05888	0.45
Conditional	Stroke-AIS	442	FLT1_EC	SET	192	-0.12819	-0.063613	0.10204	0.89514
Global	Stroke-AIS	19212	FLT1_EC	SET	192	0.06522	0.0064875	0.064782	0.15703
Conditional	Stroke-AIS	815	FN1_EC	SET	213	-0.15079	-0.066294	0.076191	0.97592
Global	Stroke-AIS	19212	FN1_EC	SET	213	-0.069323	-0.0072589	0.059875	0.87652
Conditional	Stroke-AIS	1282	JCAD_EC	SET	33	0.046321	0.0073383	0.16657	0.3905
Global	Stroke-AIS	19212	JCAD_EC	SET	33	-0.05866	-0.0024291	0.1492	0.6529
Conditional	Stroke-AIS	1252	PHACTR1_EC	SET	20	0.20145	0.025267	0.20939	0.16811
Global	Stroke-AIS	19212	PHACTR1_EC	SET	20	-0.088332	-0.0028486	0.19291	0.67648
Conditional	Stroke-AIS	1175	PLPP3_EC	SET	532	0.072888	0.036296	0.056827	0.099943
Global	Stroke-AIS	19212	PLPP3_EC	SET	532	0.022113	0.0036285	0.037606	0.27827
Conditional	Stroke-AIS	2807	COMBINED_EC	SET	1135	-0.0031843	-0.001563	0.035021	0.53622
Global	Stroke-AIS	19204	COMBINED_EC	SET	1135	-0.0086259	-0.0020342	0.026438	0.62789
Conditional	Stroke-AIS	489	ADAMTS7_SMC	SET	172	-0.12912	-0.061721	0.094034	0.91482
Global	Stroke-AIS	19212	ADAMTS7_SMC	SET	172	-0.020206	-0.0019033	0.068044	0.61675
Conditional	Stroke-AIS	711	ARHGEF26_SMC	SET	130	-0.1409	-0.054503	0.098261	0.92398
Global	Stroke-AIS	19212	ARHGEF26_SMC	SET	130	0.0035093	0.0002877	0.079369	0.48237
Conditional	Stroke-AIS	421	BCAS3_SMC	SET	44	0.16403	0.050241	0.1525	0.14137
Global	Stroke-AIS	19212	BCAS3_SMC	SET	44	-0.11118	-0.0053147	0.1563	0.76156
Conditional	Stroke-AIS	806	EDN1_SMC	SET	222	0.08162	0.036485	0.075083	0.13867
Global	Stroke-AIS	19212	EDN1_SMC	SET	222	-0.0040555	-0.00043343	0.056522	0.5286
Conditional	Stroke-AIS	1175	EDNRA_SMC	SET	200	0.061426	0.023095	0.073712	0.20242
Global	Stroke-AIS	19212	EDNRA_SMC	SET	200	0.065923	0.0066912	0.060861	0.13938
Conditional	Stroke-AIS	1228	FN1_SMC	SET	372	0.00015841	7.2825e-05	0.058935	0.49893
Global	Stroke-AIS	19212	FN1_SMC	SET	372	0.015813	0.0021791	0.046267	0.36626
Conditional	Stroke-AIS	228	HDAC9_SMC	SET	19	-0.097422	-0.026985	0.216	0.67379
Global	Stroke-AIS	19212	HDAC9_SMC	SET	19	-0.054994	-0.0017286	0.21603	0.60047
Conditional	Stroke-AIS	259	JCAD_SMC	SET	91	-0.026709	-0.012776	0.13111	0.58063
Global	Stroke-AIS	19212	JCAD_SMC	SET	91	0.0005222	3.5855e-05	0.084529	0.49754
Conditional	Stroke-AIS	1126	PHACTR1_SMC	SET	49	-0.049552	-0.010114	0.13604	0.64213
Global	Stroke-AIS	19212	PHACTR1_SMC	SET	49	-0.081413	-0.0041064	0.12258	0.7467
Conditional	Stroke-AIS	1631	PLPP3_SMC	SET	306	0.06627	0.02588	0.060413	0.13642
Global	Stroke-AIS	19212	PLPP3_SMC	SET	306	0.049363	0.0061801	0.048228	0.15304
Conditional	Stroke-AIS	2522	COMBINED_SMC	SET	1062	0.038839	0.01918	0.037063	0.14739
Global	Stroke-AIS	19203	COMBINED_SMC	SET	1062	0.02725	0.0062286	0.027048	0.15687
Conditional	Stroke-AIS	1957	ARHGEF26_EC-SMC	SET	323	-0.074347	-0.027607	0.055695	0.90896
Global	Stroke-AIS	19212	ARHGEF26_EC-SMC	SET	323	-0.062875	-0.0080839	0.047283	0.90819
Conditional	Stroke-AIS	986	BCAS3_EC-SMC	SET	292	0.028144	0.012856	0.07027	0.34444
Global	Stroke-AIS	19212	BCAS3_EC-SMC	SET	292	0.049445	0.0060494	0.054179	0.18073
Conditional	Stroke-AIS	977	EDN1_EC-SMC	SET	420	0.077155	0.038216	0.059347	0.09695
Global	Stroke-AIS	19212	EDN1_EC-SMC	SET	420	0.016075	0.0023508	0.042674	0.3532
Conditional	Stroke-AIS	1431	FN1_EC-SMC	SET	512	-0.045316	-0.02173	0.050649	0.81445
Global	Stroke-AIS	19212	FN1_EC-SMC	SET	512	-0.014084	-0.0022684	0.038747	0.64187
Conditional	Stroke-AIS	236	HDAC9_EC-SMC	SET	20	-0.062534	-0.017453	0.20902	0.61746
Global	Stroke-AIS	19212	HDAC9_EC-SMC	SET	20	0.11861	0.003825	0.19916	0.27574
Conditional	Stroke-AIS	1361	JCAD_EC-SMC	SET	124	0.026768	0.0077058	0.086724	0.37881
Global	Stroke-AIS	19212	JCAD_EC-SMC	SET	124	-0.013869	-0.0011107	0.073577	0.57476
Conditional	Stroke-AIS	1486	PHACTR1_EC-SMC	SET	66	0.052295	0.010777	0.1172	0.32776
Global	Stroke-AIS	19212	PHACTR1_EC-SMC	SET	66	-0.052238	-0.0030566	0.10563	0.68952
Conditional	Stroke-AIS	1911	PLPP3_EC-SMC	SET	719	0.032597	0.015795	0.043488	0.22681
Global	Stroke-AIS	19212	PLPP3_EC-SMC	SET	719	0.02171	0.0041207	0.03229	0.25069
Conditional	Stroke-AIS	3410	COMBINED_EC-SMC	SET	1632	-0.017281	-0.0086338	0.031014	0.71128
Global	Stroke-AIS	19202	COMBINED_EC-SMC	SET	1632	-0.0031915	-0.00089004	0.022314	0.55686
Conditional	Stroke-AIS	1790	ARHGEF26_EC-only	SET	193	-0.041669	-0.012927	0.071463	0.72004
Global	Stroke-AIS	19212	ARHGEF26_EC-only	SET	193	-0.10044	-0.010016	0.059175	0.95517
Conditional	Stroke-AIS	784	BCAS3_EC-only	SET	248	0.036293	0.016889	0.077412	0.31966
Global	Stroke-AIS	19212	BCAS3_EC-only	SET	248	0.071463	0.008067	0.057791	0.10813
Conditional	Stroke-AIS	567	EDN1_EC-only	SET	198	0.027105	0.012933	0.086076	0.37648
Global	Stroke-AIS	19212	EDN1_EC-only	SET	198	0.039414	0.0039807	0.062478	0.26408
Conditional	Stroke-AIS	742	FN1_EC-only	SET	140	-0.15407	-0.060322	0.090187	0.956
Global	Stroke-AIS	19212	FN1_EC-only	SET	140	-0.086425	-0.0073509	0.071789	0.88567
Conditional	Stroke-AIS	1282	JCAD_EC-only	SET	33	0.046321	0.0073383	0.16657	0.3905
Global	Stroke-AIS	19212	JCAD_EC-only	SET	33	-0.05866	-0.0024291	0.1492	0.6529
Conditional	Stroke-AIS	1249	PHACTR1_EC-only	SET	17	0.23415	0.027142	0.22827	0.1526
Global	Stroke-AIS	19212	PHACTR1_EC-only	SET	17	0.031384	0.00093318	0.20637	0.43957
Conditional	Stroke-AIS	1056	PLPP3_EC-only	SET	413	0.039802	0.019432	0.059992	0.25359
Global	Stroke-AIS	19212	PLPP3_EC-only	SET	413	-0.00073027	-0.00010592	0.042755	0.50681
Conditional	Stroke-AIS	2242	COMBINED_EC-only	SET	570	-0.085976	-0.037445	0.044951	0.97204
Global	Stroke-AIS	19204	COMBINED_EC-only	SET	570	-0.058105	-0.0098611	0.036484	0.94437
Conditional	Stroke-AIS	703	ARHGEF26_SMC-only	SET	122	-0.1036	-0.039264	0.10081	0.84776
Global	Stroke-AIS	19212	ARHGEF26_SMC-only	SET	122	0.018432	0.0014642	0.082209	0.4113
Conditional	Stroke-AIS	412	BCAS3_SMC-only	SET	35	0.050085	0.013981	0.16769	0.38267
Global	Stroke-AIS	19212	BCAS3_SMC-only	SET	35	-0.21902	-0.0093401	0.17738	0.89153
Conditional	Stroke-AIS	777	EDN1_SMC-only	SET	193	0.1142	0.049377	0.079511	0.075663
Global	Stroke-AIS	19212	EDN1_SMC-only	SET	193	0.024271	0.0024205	0.060219	0.34346
Conditional	Stroke-AIS	1155	FN1_SMC-only	SET	299	0.030399	0.013321	0.064289	0.3182
Global	Stroke-AIS	19212	FN1_SMC-only	SET	299	0.025813	0.0031951	0.050922	0.30611
Conditional	Stroke-AIS	228	HDAC9_SMC-only	SET	19	-0.097422	-0.026985	0.216	0.67379
Global	Stroke-AIS	19212	HDAC9_SMC-only	SET	19	-0.054994	-0.0017286	0.21603	0.60047
Conditional	Stroke-AIS	259	JCAD_SMC-only	SET	91	-0.026709	-0.012776	0.13111	0.58063
Global	Stroke-AIS	19212	JCAD_SMC-only	SET	91	0.0005222	3.5855e-05	0.084529	0.49754
Conditional	Stroke-AIS	1123	PHACTR1_SMC-only	SET	46	-0.052385	-0.010387	0.1396	0.64623
Global	Stroke-AIS	19212	PHACTR1_SMC-only	SET	46	-0.036536	-0.0017857	0.12583	0.61423
Conditional	Stroke-AIS	1512	PLPP3_SMC-only	SET	187	0.033097	0.0109	0.073566	0.32643
Global	Stroke-AIS	19212	PLPP3_SMC-only	SET	187	0.01999	0.0019626	0.062087	0.37374
Conditional	Stroke-AIS	1957	COMBINED_SMC-only	SET	497	0.018017	0.0078441	0.048409	0.3549
Global	Stroke-AIS	19203	COMBINED_SMC-only	SET	497	0.0090705	0.0014403	0.039308	0.40875
Conditional	Stroke-AIS	1642	ARHGEF26_EC-SMC-intersect	SET	8	-0.74082	-0.051599	0.36671	0.97823
Global	Stroke-AIS	19212	ARHGEF26_EC-SMC-intersect	SET	8	-0.19984	-0.0040771	0.30344	0.7449
Conditional	Stroke-AIS	703	BCAS3_EC-SMC-intersect	SET	9	0.58172	0.065443	0.34747	0.047277
Global	Stroke-AIS	19212	BCAS3_EC-SMC-intersect	SET	9	0.26167	0.0056625	0.32958	0.21361
Conditional	Stroke-AIS	586	EDN1_EC-SMC-intersect	SET	29	-0.095199	-0.020665	0.17628	0.70531
Global	Stroke-AIS	19212	EDN1_EC-SMC-intersect	SET	29	-0.21291	-0.0082658	0.16351	0.90355
Conditional	Stroke-AIS	992	FN1_EC-SMC-intersect	SET	73	-0.1148	-0.029989	0.11306	0.84491
Global	Stroke-AIS	19212	FN1_EC-SMC-intersect	SET	73	-0.0306	-0.0018827	0.10917	0.61037
Conditional	Stroke-AIS	1423	PHACTR1_EC-SMC-intersect	SET	3	0.027578	0.0012654	0.5196	0.47884
Global	Stroke-AIS	19212	PHACTR1_EC-SMC-intersect	SET	3	-0.91638	-0.011451	0.54271	0.95433
Conditional	Stroke-AIS	1311	PLPP3_EC-SMC-intersect	SET	119	0.14622	0.042023	0.091528	0.055195
Global	Stroke-AIS	19212	PLPP3_EC-SMC-intersect	SET	119	0.094687	0.0074292	0.07684	0.10894
Conditional	Stroke-AIS	2343	COMBINED_EC-SMC-intersect	SET	565	0.090099	0.038551	0.044461	0.021419
Global	Stroke-AIS	19202	COMBINED_EC-SMC-intersect	SET	565	0.041918	0.0070839	0.036554	0.12576
Conditional	Stroke-LAS	1800	ARHGEF26_EC	SET	201	0.012733	0.0040114	0.061816	0.41842
Global	Stroke-LAS	19268	ARHGEF26_EC	SET	201	-0.003932	-0.00039951	0.052685	0.52975
